name,neighborhood,courses_min,courses_max,price_min,price_max,gratuity_included,notes
SUSHI NOZ ASH & HINOKI,Upper Manhattan,20,20,550,550,FALSE,
YŪGIN,Upper Manhattan,20,20,475,475,FALSE,
OMAKASE ROOM SHIN,Upper Manhattan,14,14,195,195,FALSE,
SUSHI ISHIKAWA,Upper Manhattan,17,17,175,175,FALSE,UWS & UES
SUSHI AKIRA,Upper Manhattan,18,18,175,175,FALSE,
SUSHI OF GARI,Upper Manhattan,12,12,160,160,FALSE,UWS & UES
OMAKASE SHIHOU,Upper Manhattan,19,19,155,155,FALSE,
KIZUNA,Upper Manhattan,13,13,150,150,FALSE,
SUSHI JIN,Upper Manhattan,14,14,145,145,FALSE,
SUSHI LIN (UWS),Upper Manhattan,16,16,125,125,FALSE,UWS
SUSHI SEKI 1ST,Upper Manhattan,15,15,120,180,FALSE,
KOETE OMAKASE,Upper Manhattan,16,16,118,118,FALSE,
SUSHI KAITO,Upper Manhattan,17,17,115,115,FALSE,
SUSHI KOYA,Upper Manhattan,18,18,115,115,FALSE,
SUSHI GODA,Upper Manhattan,15,15,110,110,FALSE,
SUSHI YOLO,Upper Manhattan,16,16,109,109,FALSE,
ZAMA OMAKASE,Upper Manhattan,15,15,108,108,FALSE,
TANOSHI SUSHI,Upper Manhattan,14,14,106,106,FALSE,
SUSHI HAYASHI,Upper Manhattan,,,,, AYCE,All you can eat; price=98
AKIMORI (UWS),Upper Manhattan,10,18,95,175,FALSE,
NOZ MARKET,Upper Manhattan,10,15,90,155,FALSE,
TATSUDA OMAKASE,Upper Manhattan,14,14,90,90,FALSE,
KUN TSUKI OMAKASE,Upper Manhattan,10,16,49,89,FALSE,Two course options
ONE BITE OMAKASE,Upper Manhattan,13,13,89,89,FALSE,
ATTO OMAKASE,Upper Manhattan,13,17,85,115,FALSE,
HANAYA OMAKASE,Upper Manhattan,13,13,75,75,FALSE,
SUSHI SASABUNE,Upper Manhattan,11,16,70,140,FALSE,
SUSHI BY M (UWS),Upper Manhattan,12,16,69,100,FALSE,UES
SUSHI MASU,Upper Manhattan,13,16,68,88,FALSE,
TSUMO (UWS),Upper Manhattan,13,13,58,58,FALSE,
UKA OMAKASE,Upper Manhattan,16,18,56,98,FALSE,
SUSHI W,Upper Manhattan,14,17,53,68,FALSE,UWS/UES
OYISHI SUSHI OMAKASE,Upper Manhattan,10,10,50,50,FALSE,
SUGARFISH (UWS),Upper Manhattan,7,10,32,76,FALSE,UWS
MASA,Midtown Manhattan,22,22,950,950,TRUE,Gratuity included
NOZ 17,Midtown Manhattan,23,23,465,465,FALSE,
SUSHI SHO,Midtown Manhattan,17,17,450,450,TRUE,Gratuity included
NODA,Midtown Manhattan,20,20,400,400,FALSE,
JOJI,Midtown Manhattan,21,21,410,410,FALSE,
CORAL OMAKASE,Midtown Manhattan,17,17,345,345,FALSE,
KURUMAZUSHI,Midtown Manhattan,16,16,300,300,FALSE,
SUSHI AMANE,Midtown Manhattan,18,18,250,250,FALSE,
SUSHI BY SCRATCH,Midtown Manhattan,16,16,245,245,FALSE,
SUSHI YASUDA,Midtown Manhattan,16,16,170,170,FALSE,
SUSHI OF GARI 46,Midtown Manhattan,12,12,160,160,FALSE,
OMAKASE SUSHI DAIRO,Midtown Manhattan,18,18,160,160,FALSE,
SUSHI SUITE 1001,Midtown Manhattan,15,15,150,150,FALSE,
SUSHI SEKI,Midtown Manhattan,15,15,150,150,FALSE,C or TS
SHINPI,Midtown Manhattan,15,18,150,170,FALSE,
MASUDA OMAKASE,Midtown Manhattan,14,14,135,135,FALSE,
SAISHIN,Midtown Manhattan,12,15,115,150,FALSE,
HATSUHANA,Midtown Manhattan,15,18,112,130,FALSE,
SUSHI YOU,Midtown Manhattan,12,14,110,125,FALSE,
CHEMISTRY ROOM,Midtown Manhattan,15,15,100,100,FALSE,
SUSHI BEAUU,Midtown Manhattan,14,16,100,140,FALSE,
GOSUKE,Midtown Manhattan,11,15,100,140,FALSE,
SUSHI RYUSEI,Midtown Manhattan,10,15,95,140,FALSE,
HOSEKI,Midtown Manhattan,12,12,95,95,FALSE,
OMAKASE BY KORAMI,Midtown Manhattan,15,15,89,89,FALSE,
OMAKASE 33,Midtown Manhattan,17,17,88,88,FALSE,
SUSHI BLOSSOMS,Midtown Manhattan,12,17,85,128,FALSE,
THIRTEEN WATER HY,Midtown Manhattan,13,13,85,85,FALSE,
SUSHI ANN,Midtown Manhattan,10,15,80,125,FALSE,
NARE SUSHI,Midtown Manhattan,12,12,79,79,FALSE,
SANYUU WEST,Midtown Manhattan,15,15,78,78,FALSE,
SHOGUN,Midtown Manhattan,12,19,68,150,FALSE,
SUSHI LAB ROOF,Midtown Manhattan,10,15,60,100,FALSE,
OMAKASEED,Midtown Manhattan,11,15,65,100,FALSE,
TSUMO (MW),Midtown Manhattan,13,13,58,58,FALSE,
SUSHI BY BOU,Midtown Manhattan,12,12,50,50,FALSE,Various locations
SUGARFISH (MW),Midtown Manhattan,7,10,32,76,FALSE,MW/E/FI locations
SENDO,Midtown Manhattan,10,13,33,48,FALSE,
YOSHINO,Lower Manhattan,20,20,500,500,FALSE,
ICCA,Lower Manhattan,21,21,495,495,FALSE,
NAKAJI,Lower Manhattan,17,17,365,365,FALSE,
SUSHIDOKORO MEKUMI,Lower Manhattan,19,19,300,300,FALSE,
ITO,Lower Manhattan,20,20,295,295,FALSE,
KOSAKA,Lower Manhattan,15,15,270,295,FALSE,Two price options
SHUKO,Lower Manhattan,16,16,270,270,FALSE,
SUSHI MUMI,Lower Manhattan,18,18,250,250,FALSE,
BAR MILLER,Lower Manhattan,15,15,250,250,FALSE,
