name,overall_rating,1_star,2_star,3_star,4_star,5_star,total_review
SUSHI NOZ ASH & HINOKI,4.2,19,11,18,39,136,223
YŪGIN,0,0,0,0,0,0,0
OMAKASE ROOM SHIN,5.0,0,0,0,0,5,5
SUSHI ISHIKAWA,4.9,14,10,20,50,268,362
SUSHI AKIRA,5.0,0,0,0,0,11,11
SUSHI OF GARI,4.0,40,40,90,160,380,710
OMAKASE SHIHOU,5.0,0,0,0,0,2,2
KIZUNA,5.0,0,0,0,0,18,18
SUSHI JIN,4.9,1,1,0,3,112,117
SUSHI LIN (UWS),4.8,1,0,1,7,57,66
SUSHI SEKI 1ST,3.8,71,58,60,146,251,586
KOETE OMAKASE,4.8,0,2,0,5,43,50
SUSHI KAITO,4.6,6,5,13,36,170,230
SUSHI KOYA,4.8,1,0,0,15,76,92
SUSHI GODA,4.2,4,2,11,9,43,69
SUSHI YOLO,4.9,0,1,0,7,86,94
ZAMA OMAKASE,4.7,0,0,1,1,7,9
TANOSHI SUSHI,4.1,29,35,75,179,639,957
SUSHI HAYASHI,4.2,3,3,11,40,63,120
AKIMORI (UWS),4.1,1,1,1,0,7,10
NOZ MARKET,3.9,6,11,13,31,44,105
TATSUDA OMAKASE,4.7,2,2,5,18,103,130
KUN TSUKI OMAKASE,4.7,0,0,3,10,40,53
ONE BITE OMAKASE,4.9,0,0,1,5,65,71
ATTO OMAKASE,4.7,0,0,2,7,27,36
HANAYA OMAKASE,4.8,0,0,1,3,25,29
SUSHI SASABUNE,3.8,54,36,52,92,198,432
SUSHI BY M (UWS),4.8,0,0,2,3,33,38
SUSHI MASU,4.7,1,1,3,12,55,72
TSUMO (UWS),4.7,1,1,2,8,48,60
UKA OMAKASE,4.8,2,2,4,12,75,95
SUSHI W,4.6,0,2,0,7,25,34
OYISHI SUSHI OMAKASE,4.7,2,2,3,12,40,59
SUGARFISH (UWS),4.1,3,3,6,12,24,48
MASA,4.0,42,31,50,50,265,438
NOZ 17,4.3,3,1,2,7,13,26
SUSHI SHO,4.3,0,0,0,2,17,19
NODA,4.5,3,2,6,10,57,78
JOJI,4.1,5,1,3,7,23,39
CORAL OMAKASE,5.0,0,0,0,0,22,22
KURUMAZUSHI,3.9,23,20,26,50,117,236
SUSHI AMANE,4.1,6,9,14,11,53,93
SUSHI BY SCRATCH,3.8,1,0,0,1,2,4
SUSHI YASUDA,4.1,184,151,233,471,1325,2364
SUSHI OF GARI 46,3.8,74,63,94,209,308,748
OMAKASE SUSHI DAIRO,4.6,3,3,8,13,108,135
SUSHI SUITE 1001,0,0,0,0,0,0,0
SUSHI SEKI,3.8,71,58,60,146,251,586
SHINPI,4.7,0,1,6,4,46,57
MASUDA OMAKASE,4.6,0,1,0,0,6,7
SAISHIN,4.3,2,2,2,5,20,31
HATSUHANA,4.2,57,70,171,536,820,1654
SUSHI YOU,3.9,26,22,26,90,131,295
CHEMISTRY ROOM,4.4,5,1,16,24,98,144
SUSHI BEAUU,4.1,2,1,3,2,12,20
GOSUKE,4.3,4,5,4,19,46,78
SUSHI RYUSEI,4.5,2,2,7,23,114,148
HOSEKI,4.4,0,1,3,0,12,16
OMAKASE BY KORAMI,4.8,2,6,14,41,486,549
OMAKASE 33,4.5,1,1,3,8,31,44
SUSHI BLOSSOMS,4.6,2,5,11,28,158,204
THIRTEEN WATER HY,4.6,5,3,19,56,198,281
SUSHI ANN,3.4,23,18,16,47,39,143
NARE SUSHI,3.8,45,36,59,100,177,417
SANYUU WEST,4.4,2,2,18,37,98,157
SHOGUN,4.4,4,9,13,43,120,189
SUSHI LAB ROOF,4.1,54,71,119,236,509,989
OMAKASEED,4.4,3,2,4,8,43,60
TSUMO (MW),4.6,1,5,18,68,191,283
SUSHI BY BOU,4.3,2,2,4,8,27,43
SENDO,4.4,12,5,16,38,147,218
YOSHINO,4.3,4,3,2,6,36,51
ICCA,4.4,4,0,4,9,34,51
NAKAJI,4.2,13,3,3,5,66,90
SUSHIDOKORO MEKUMI,4.2,0,0,1,2,2,5
ITO,4.7,0,1,3,6,36,46
KOSAKA,4.2,12,13,21,45,145,236
SHUKO,4.0,35,25,38,67,188,353
SUSHI MUMI,4.3,2,0,1,3,13,19
BAR MILLER,4.2,1,0,1,1,5,8
TSUBAME,4.4,1,1,2,1,14,19
SUSHI IKUMI,4.8,0,1,0,8,52,61
OMAKASE ROOM MITSU,4.4,10,7,17,33,157,224
OFFICE OF MR. MOTO,4.6,3,4,6,12,98,123
KANOYAMA,3.7,69,64,112,251,261,757
SUSHI NAKAZAWA,4.3,92,100,182,352,1142,1868
SUSHI OKU,4.4,1,1,1,2,14,19
SUSHI AOZORA,5.0,0,0,0,0,8,8
MOODY TONGUE SUSHI,4.2,5,6,9,10,56,86
MOMOYA,4.2,17,17,42,128,192,396
MITSURU,4.4,0,1,0,2,5,8
BLUE RIBBON SUSHI,4.1,55,69,169,409,619,1321
SUSHI OUJI,4.9,0,0,1,3,50,54
OMAKASE ROOM MAASER,4.5,9,9,15,35,177,245
SUSHI TERU,4.7,2,3,2,1,57,65
TOWA,4.3,3,8,15,34,81,141
MORI,4.5,0,2,2,0,18,22
SAIKOU,4.8,0,0,2,4,30,36
SUSHI MAKOTO,4.7,3,2,5,8,105,123
DOMO OMAKASE,4.8,1,1,0,7,69,78
MISHIK,4.5,1,4,2,15,48,70
SUSHI KATSUEI (LM),3.6,30,12,17,41,67,167
SEKAI OMAKASE,4.4,0,4,4,13,43,64
SOURAJI,4.1,12,9,30,51,103,205
SHINSEN,3.9,41,40,34,42,201,358
HASAKI,3.8,27,39,68,148,130,412
HATSU OMAKASE,4.3,4,4,8,20,53,89
MOKO,3.6,41,31,36,51,121,280
TAKUMI OMAKASE,4.6,3,9,13,46,206,277
YOKOX OMAKASE,4.6,0,1,3,10,32,46
ZEN SUSHI OMAKASE,4.8,0,2,2,3,54,61
OMAKASE SUSHI BY NO NAME,4.5,1,3,2,6,34,46
THIRTEEN WATER,4.6,5,3,19,56,199,282
TAIKUN,4.7,0,1,1,8,40,50
SUSHI KAI,4.5,4,8,6,42,118,178
KAKI,4.6,0,1,6,19,65,91
FUKU OMAKASE,4.8,1,0,2,4,55,62
KAZUMI OMAKASE,4.8,0,0,3,10,75,88
GENKI OMAKASE,4.5,15,8,12,50,221,306
SUSHI 456,4.6,3,1,6,7,60,77
SHINN EAST,4.5,13,9,21,81,262,386
SHINZO OMAKASE,4.7,0,5,4,16,120,145
KINZAN OMAKASE,4.6,1,5,3,11,71,91
SHOSHIN 68,4.7,2,0,1,4,41,48
MATSUNORI,4.3,4,9,18,52,109,192
KYUUBI OMAKASE,4.6,1,0,1,2,18,22
SHIKI OMAKASE,4.5,17,22,35,98,477,649
SHIROKURO,4.1,4,6,10,24,44,88
MOJO EAST,4.5,3,1,12,25,83,124
KIWAMI,5.0,0,0,0,0,5,5
SHOTA OMAKASE,4.4,3,3,3,10,38,57
ENSO OMAKASE,4.1,2,0,0,1,7,10
SUSHI KOJU,0,0,0,0,0,0,0
UME,4.4,1,1,6,14,34,56
ISHI OMAKASE,4.7,1,1,2,12,57,73
NETASHARI,4.5,5,7,8,16,118,154
SORA,4.6,3,0,3,8,42,56
OMAKASE BY HIRO,4.6,3,3,3,17,83,109
NOZOMI,4.8,0,0,0,2,11,13
MIDO OMAKASE,4.2,1,0,0,0,4,5
SUSHI ON ME BK,4.1,3,1,4,2,18,28
IDASHI OMAKASE,4.8,0,1,0,4,37,42
AKIMORI (BK),4.1,1,1,1,0,7,10
KINJO,4.8,0,0,0,7,22,29
U OMAKASE,4.7,1,0,0,8,33,42
YAMASHIRO OMAKASE,3.7,26,17,13,53,74,183
UOTORA,4.3,10,7,10,11,94,132
OITA,4.4,22,6,23,73,268,392
MIRO SUSHI,5.0,0,0,0,1,21,22
SUSHI UESUGI,4.2,5,3,9,17,52,86
KOI OMAKASE,3.7,62,75,213,303,261,914
IWAK SUSHI,4.6,1,1,10,10,78,100
LUYA OMAKASE,4.6,2,0,0,1,22,25
KI SUSHI,4.5,9,7,14,48,195,273
SUSHI YASHIN,4.2,15,22,23,50,156,266
HIMITSU,4.4,0,3,7,6,29,45
KAKUREGA SUSHI,4.2,9,7,15,15,74,120
KI OMAKASE,5.0,0,0,0,0,21,21
OMI OMAKASE,4.5,0,2,3,3,24,32
KAIYO OMAKASE,4.6,1,3,3,4,41,52
MASAAKI,4.3,13,18,18,62,160,271
YANAGI,4.7,0,0,0,3,7,10
OMAKASE OSUKAA,4.7,1,0,2,6,41,50
SUSHI NIKKO,4.3,1,2,6,18,33,60
KAIZEN OMAKASE,3.6,20,15,33,36,55,159
